team_full_name,offensive,defensive,league,country
Arsenal,89.1,90.8,Premier League,England
Manchester City,88.8,89.0,Premier League,England
Bayern Munich,92.4,78.9,Bundesliga,Germany
Barcelona,90.0,83.5,La Liga,Spain
Liverpool,88.9,84.6,Premier League,England
Paris S-G,88.1,82.5,Ligue 1,France
Real Madrid,88.4,80.9,La Liga,Spain
Chelsea,86.6,82.9,Premier League,England
Manchester Utd,87.3,81.4,Premier League,England
Inter,80.0,87.8,Serie A,Italy
Nott’ham Forest,80.1,83.3,Premier League,England
Brighton,80.5,82.8,Premier League,England
Newcastle Utd,86.1,75.4,Premier League,England
Como,74.0,86.7,Serie A,Italy
Juventus,83.0,78.0,Serie A,Italy
Sporting CP,77.5,82.9,Liga Portugal,Portugal
Bournemouth,82.5,77.0,Premier League,England
Leeds United,78.3,79.8,Premier League,England
Aston Villa,77.0,80.3,Premier League,England
Crystal Palace,74.4,82.4,Premier League,England
Benfica,76.6,80.5,Liga Portugal,Portugal
Atletico Madrid,80.5,75.1,La Liga,Spain
Dortmund,79.3,76.4,Bundesliga,Germany
Fulham,75.9,79.6,Premier League,England
Tottenham,81.2,73.7,Premier League,England
Leverkusen,77.6,77.5,Bundesliga,Germany
Porto,70.1,83.1,Liga Portugal,Portugal
RB Leipzig,78.0,75.5,Bundesliga,Germany
Brentford,76.8,76.6,Premier League,England
Everton,72.4,80.3,Premier League,England
Lens,79.1,73.6,Ligue 1,France
Stuttgart,79.7,72.3,Bundesliga,Germany
Olympiakos Piraeus,60.2,86.0,Greek Super League,Greece
Milan,70.3,80.6,Serie A,Italy
Atalanta,77.7,73.3,Serie A,Italy
Napoli,71.0,79.2,Serie A,Italy
Roma,74.2,75.4,Serie A,Italy
Monaco,77.2,71.3,Ligue 1,France
Marseille,76.7,71.7,Ligue 1,France
Betis,75.1,72.4,La Liga,Spain
Celta Vigo,67.7,78.1,La Liga,Spain
Bologna,71.2,75.2,Serie A,Italy
Lille,64.0,79.8,Ligue 1,France
Athletic Club,67.3,77.7,La Liga,Spain
Hoffenheim,76.3,68.7,Bundesliga,Germany
Bodo/Glimt,75.0,69.6,Norway Eliteserien,Norway
Sunderland,65.9,77.9,Premier League,England
Rennes,72.8,70.9,Ligue 1,France
Braga,67.5,75.4,Liga Portugal,Portugal
Wolves,68.1,74.7,Premier League,England
Lyon,70.8,72.2,Ligue 1,France
West Ham,71.2,70.8,Premier League,England
Real Sociedad,74.5,66.3,La Liga,Spain
Union SG,57.2,79.3,Pro League,Belgium
Rayo Vallecano,68.4,71.1,La Liga,Spain
Villarreal,69.5,70.1,La Liga,Spain
Fiorentina,70.4,68.2,Serie A,Italy
Strasbourg,67.9,70.6,Ligue 1,France
Middlesbrough,65.1,72.9,Championship,England
Sevilla,67.8,70.5,La Liga,Spain
Getafe,54.0,79.5,La Liga,Spain
Toulouse,67.0,70.7,Ligue 1,France
Mainz 05,65.6,71.0,Bundesliga,Germany
Club Brugge,74.4,60.6,Pro League,Belgium
Eint Frankfurt,66.4,68.7,Bundesliga,Germany
PAOK,53.2,77.5,Greek Super League,Greece
Girona,67.9,66.5,La Liga,Spain
Midtjylland,68.3,65.8,Danish Superliga,Denmark
Burnley,67.1,66.1,Premier League,England
PSV Eindhoven,74.6,56.3,Eredivisie,Netherlands
Osasuna,65.2,67.8,La Liga,Spain
Valencia,59.5,71.8,La Liga,Spain
Freiburg,66.2,66.1,Bundesliga,Germany
Galatasaray,66.2,66.1,Süper Lig,Türkiye
Werder Bremen,65.5,66.7,Bundesliga,Germany
Lazio,58.6,72.1,Serie A,Italy
AEK Athens,61.0,70.0,Greek Super League,Greece
Genoa,61.3,68.8,Serie A,Italy
AGF,68.2,61.9,Danish Superliga,Denmark
Augsburg,64.4,66.0,Bundesliga,Germany
Koln,64.6,65.1,Bundesliga,Germany
Lorient,61.5,68.0,Ligue 1,France
Torino,63.5,66.3,Serie A,Italy
Hamburger SV,62.1,66.8,Bundesliga,Germany
Coventry City,64.8,64.0,Championship,England
Brest,60.2,68.0,Ligue 1,France
Ipswich Town,61.7,66.8,Championship,England
Espanyol,66.1,62.3,La Liga,Spain
Union Berlin,63.5,64.8,Bundesliga,Germany
Slavia Praha,64.5,63.4,Czech First League,Czech Republic
Gladbach,63.5,64.1,Bundesliga,Germany
Elche,63.6,63.6,La Liga,Spain
Viking,65.4,61.8,Norway Eliteserien,Norway
Twente,67.3,59.0,Eredivisie,Netherlands
Udinese,55.6,69.4,Serie A,Italy
AZ Alkmaar,64.3,61.6,Eredivisie,Netherlands
Fenerbahce,68.0,57.2,Süper Lig,Türkiye
St. Pauli,54.3,69.8,Bundesliga,Germany
Gil Vicente FC,61.6,63.7,Liga Portugal,Portugal
Alaves,60.1,65.1,La Liga,Spain
NEC Nijmegen,71.1,51.8,Eredivisie,Netherlands
Norwich City,55.3,68.1,Championship,England
Besiktas,63.7,60.4,Süper Lig,Türkiye
Dinamo Zagreb,62.3,60.6,Croatian HNL,Croatia
Mallorca,58.0,64.3,La Liga,Spain
Sassuolo,58.7,63.3,Serie A,Italy
Genk,65.1,56.4,Pro League,Belgium
Levante,58.9,62.8,La Liga,Spain
Auxerre,50.4,69.1,Ligue 1,France
Feyenoord,65.0,55.7,Eredivisie,Netherlands
Famalicao,50.0,68.9,Liga Portugal,Portugal
Lecce,49.2,69.0,Serie A,Italy
Portsmouth,53.9,65.6,Championship,England
Le Havre,49.7,68.4,Ligue 1,France
Paris FC,51.1,67.3,Ligue 1,France
Viktoria Plzen,62.6,57.0,Czech First League,Czech Republic
Southampton,59.8,59.8,Championship,England
Ajax,62.3,57.0,Eredivisie,Netherlands
Tromso,56.4,62.5,Norway Eliteserien,Norway
Nice,58.5,60.3,Ligue 1,France
Oviedo,53.0,64.5,La Liga,Spain
Vitoria,57.1,60.8,Liga Portugal,Portugal
Estoril,59.6,56.9,Liga Portugal,Portugal
Sint-Truiden,58.6,57.9,Pro League,Belgium
Trabzonspor,61.4,54.9,Süper Lig,Türkiye
Hammarby IF,59.0,57.4,Sweden Allsvenskan,Sweden
Swansea City,52.1,63.6,Championship,England
Viborg,61.9,54.1,Danish Superliga,Denmark
FC Copenhagen,61.0,54.7,Danish Superliga,Denmark
Panathinaikos,51.4,63.7,Greek Super League,Greece
Parma,49.9,64.8,Serie A,Italy
Santa Clara,46.3,67.2,Liga Portugal,Portugal
Anderlecht,59.2,56.2,Pro League,Belgium
Westerlo,55.1,60.3,Pro League,Belgium
Wolfsburg,62.6,51.9,Bundesliga,Germany
Wrexham,56.6,58.5,Championship,England
Elversberg,55.9,59.2,2. Bundesliga,Germany
Omonia Nicosia,58.3,56.5,Cyprus First Division,Cyprus
