team_idx,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34
0,1:H:0-3,9:A:0-3,3:H:2-1,5:A:3-2,11:H:2-0,10:A:1-1,2:H:2-2,12:A:2-0,4:H:3-2,14:H:0-4,15:A:0-0,6:H:2-2,16:A:3-0,8:H:1-2,17:A:2-2,7:H:0-1,13:A:1-5,1:A:1-1,9:H:1-1,3:A:1-2,5:H:2-1,11:A:0-3,10:H:1-2,2:A:0-0,12:H:1-1,4:A:4-1,14:A:1-4,15:H:?-?,6:A:?-?,16:H:?-?,8:A:?-?,17:H:?-?,7:A:?-?,13:H:?-?
1,0:A:3-0,12:H:3-0,16:A:4-0,6:H:3-1,8:A:2-0,9:H:3-1,15:A:1-0,17:H:1-1,13:A:2-1,7:H:3-1,10:H:0-0,11:A:0-1,3:H:3-2,14:A:1-1,2:H:3-2,4:A:4-1,5:H:3-0,0:H:1-1,12:A:3-1,16:H:4-0,6:A:3-0,8:H:5-1,9:A:0-2,15:H:3-1,17:A:1-0,13:H:3-0,7:A:?-?,10:A:?-?,11:H:?-?,3:A:?-?,14:H:?-?,2:A:?-?,4:H:?-?,5:A:?-?
2,3:H:2-1,11:A:1-0,5:H:0-0,10:A:1-1,4:H:1-2,12:H:3-2,0:A:2-2,14:H:0-0,16:A:3-1,6:H:1-1,9:A:3-1,8:H:1-0,17:A:1-1,15:H:1-1,1:A:2-3,13:H:0-2,7:A:0-2,3:A:1-1,11:H:0-0,5:A:1-0,10:H:0-3,4:A:1-3,12:A:0-0,0:H:0-0,14:A:2-3,16:H:2-1,6:A:?-?,9:H:?-?,8:A:?-?,17:H:?-?,15:A:?-?,1:H:?-?,13:A:?-?,7:H:?-?
3,2:A:1-2,4:H:0-1,0:A:1-2,14:H:1-3,6:A:0-1,8:H:1-0,16:A:1-1,15:H:2-2,17:A:2-1,9:H:1-2,7:A:0-1,13:H:2-1,1:A:2-3,11:A:0-1,12:H:3-0,5:A:0-0,10:H:4-3,2:H:1-1,4:A:1-2,0:H:2-1,14:A:1-3,6:H:2-2,8:A:0-1,16:H:0-0,15:A:0-0,17:H:0-2,9:A:0-1,7:H:?-?,13:A:?-?,1:H:?-?,11:H:?-?,12:A:?-?,5:H:?-?,10:A:?-?
4,5:H:2-1,3:A:1-0,10:A:0-1,12:H:1-2,2:A:2-1,16:H:1-1,14:A:0-2,6:H:2-5,0:A:2-3,13:H:0-4,8:A:1-0,17:H:1-3,9:A:0-0,7:H:1-2,15:A:0-0,1:H:1-4,11:A:1-2,5:A:0-0,3:H:2-1,10:H:1-1,12:A:0-1,2:H:3-1,16:A:0-1,14:H:2-2,6:A:0-1,0:H:1-4,13:A:0-0,8:H:?-?,17:A:?-?,9:H:?-?,7:A:?-?,15:H:?-?,1:A:?-?,11:H:?-?
5,4:A:1-2,10:H:0-1,2:A:0-0,0:H:2-3,12:A:1-0,14:H:1-1,6:A:2-1,9:H:1-1,8:A:0-2,17:H:1-1,16:A:2-3,7:H:0-2,15:A:2-1,13:H:1-3,11:A:0-0,3:H:0-0,1:A:0-3,4:H:0-0,10:A:1-2,2:H:0-1,0:A:1-2,12:H:3-2,14:A:1-1,6:H:0-3,9:A:1-1,8:H:1-0,17:A:1-2,16:H:?-?,7:A:?-?,15:H:?-?,13:A:?-?,11:H:?-?,3:A:?-?,1:H:?-?
6,7:H:0-3,15:A:0-0,13:H:0-0,1:A:1-3,3:H:1-0,11:A:1-1,5:H:1-2,4:A:5-2,10:H:1-2,2:A:1-1,12:H:1-0,0:A:2-2,14:H:2-5,16:H:0-1,9:A:1-1,8:H:3-0,17:A:0-1,7:A:1-3,15:H:1-1,13:A:2-2,1:H:0-3,3:A:2-2,11:H:2-0,5:A:3-0,4:H:1-0,10:A:0-1,2:H:?-?,12:A:?-?,0:H:?-?,14:A:?-?,16:A:?-?,9:H:?-?,8:A:?-?,17:H:?-?
7,6:A:3-0,14:H:0-0,12:A:2-0,9:H:1-1,16:A:1-1,17:H:3-0,8:A:0-0,13:H:1-0,15:A:0-1,1:A:1-3,3:H:1-0,5:A:2-0,11:H:0-0,4:A:2-1,10:H:1-2,0:A:1-0,2:H:2-0,6:H:3-1,14:A:1-1,12:H:2-1,9:A:0-0,16:H:0-0,17:A:0-4,8:H:0-0,13:A:1-2,15:H:2-2,1:H:?-?,3:A:?-?,5:H:?-?,11:A:?-?,4:H:?-?,10:A:?-?,0:H:?-?,2:A:?-?
8,9:H:1-4,17:A:1-2,15:H:2-1,13:A:0-0,1:H:0-2,3:A:0-1,7:H:0-0,11:A:0-1,5:H:2-0,10:A:0-2,4:H:0-1,2:A:0-1,12:H:1-1,0:A:2-1,16:H:1-1,6:A:0-3,14:H:0-3,9:A:1-1,17:H:2-2,15:A:3-1,13:H:1-2,1:A:1-5,3:H:1-0,7:A:0-0,11:H:0-1,5:A:0-1,10:H:0-1,4:A:?-?,2:H:?-?,12:A:?-?,0:H:?-?,16:A:?-?,6:H:?-?,14:A:?-?
9,8:A:4-1,0:H:3-0,17:H:0-2,7:A:1-1,15:H:1-2,1:A:1-3,13:H:2-1,5:A:1-1,11:H:2-3,3:A:2-1,2:H:1-3,12:A:0-2,4:H:0-0,10:A:1-3,6:H:1-1,14:A:0-4,16:H:1-1,8:H:1-1,0:A:1-1,17:A:1-2,7:H:0-0,15:A:1-2,1:H:2-0,13:A:0-2,5:H:1-1,11:A:2-1,3:H:1-0,2:A:?-?,12:H:?-?,4:A:?-?,10:H:?-?,6:A:?-?,14:H:?-?,16:A:?-?
